participant;Task1;Task2;Task3;Task4;Group;Position;Color;Skeleton
1;28.257;20.654;8.216;14.996;MMG;MM;G;Yes
2;14.878;14.360;6.200;3.585;MMG;MM;G;Yes
3;16.026;11.129;106.318;14.592;MMG;MM;G;Yes
4;3.901;4.811;8.919;3.355;MMG;MM;G;Yes
5;18.630;8.910;5.068;3.007;MMG;MM;G;Yes
6;11.613;9.673;6.467;;MMG;MM;G;Yes
7;7.383;8.991;6.910;17.321;MMG;MM;G;Yes
8;;9.541;;5.453;MMG;MM;G;Yes
9;25.930;45.296;15.748;9.541;MMG;MM;G;Yes
10;10.071;6.110;1.979;3.276;MMG;MM;G;Yes
11;65.999;14.547;4.788;2.524;MMG;MM;G;Yes
12;44.263;7.064;1.159;2.833;MMG;MM;G;Yes
13;8.987;12.235;14.083;6.276;MMG;MM;G;Yes
14;32.883;21.551;10.415;8.618;MMG;MM;G;Yes
15;89.477;9.765;9.450;17.831;MMC;MM;C;Yes
16;13.005;6.182;7.551;6.743;MMC;MM;C;Yes
17;17.068;11.505;2.190;2.697;MMC;MM;C;Yes
18;23.769;14.982;2.626;3.142;MMC;MM;C;Yes
19;31.401;7.147;6.803;6.906;MMC;MM;C;Yes
20;30.669;27.578;5.086;20.630;MMC;MM;C;Yes
21;64.923;28.406;17.954;17.178;MMC;MM;C;Yes
22;40.454;23.053;15.817;44.746;MMC;MM;C;Yes
23;14.653;17.727;7.614;10.115;MMC;MM;C;Yes
24;15.308;10.215;1.699;4.565;MMC;MM;C;Yes
25;29.490;12.579;1.294;5.427;MMC;MM;C;Yes
26;56.049;8.263;12.961;4.987;MMC;MM;C;Yes
27;5.973;4.695;4.456;5.203;MMC;MM;C;Yes
28;23.262;11.461;2.997;5.778;MMC;MM;C;Yes
29;12.540;4.734;8.970;10.189;MMC;MM;C;Yes
30;40.812;6.373;45.394;8.916;MG;M;G;Yes
31;3.602;5.919;1.953;2.373;MG;M;G;Yes
32;5.814;5.189;11.775;14.849;MG;M;G;Yes
33;14.998;9.152;16.579;14.067;MG;M;G;Yes
34;18.989;7.154;14.711;12.022;MG;M;G;Yes
35;18.374;19.201;8.170;6.679;MG;M;G;Yes
36;62.780;20.770;8.323;13.206;MG;M;G;Yes
37;15.658;89.538;3.547;5.917;MG;M;G;Yes
38;6.494;90.111;7.238;8.456;MG;M;G;Yes
39;17.706;7.591;29.209;24.126;MG;M;G;Yes
40;8.184;10.565;5.112;22.040;MG;M;G;Yes
41;39.397;4.859;2.007;14.907;MG;M;G;Yes
42;26.312;6.757;1.403;1.989;MG;M;G;Yes
43;9.178;15.338;3.201;9.860;MG;M;G;Yes
44;17.545;11.411;8.706;12.503;MG;M;G;Yes
45;10.923;11.661;6.497;11.769;MG;M;G;Yes
46;27.133;14.357;13.536;3.710;MC;M;C;Yes
47;9.877;3.958;9.518;4.609;MC;M;C;Yes
48;16.374;4.147;10.022;3.115;MC;M;C;Yes
49;20.812;14.313;4.876;6.426;MC;M;C;Yes
50;11.159;2.846;6.696;2.375;MC;M;C;Yes
51;5.200;7.773;1.314;4.129;MC;M;C;Yes
52;3.342;9.547;10.180;1.997;MC;M;C;Yes
53;146.772;12.571;3.787;21.820;MC;M;C;Yes
54;23.420;48.771;7.206;11.447;MC;M;C;Yes
55;34.153;55.530;9.610;2.544;MC;M;C;Yes
56;30.835;9.050;5.911;10.445;MC;M;C;Yes
57;37.152;5.459;7.618;6.009;MC;M;C;Yes
58;21.662;14.591;1.044;6.915;MC;M;C;Yes
59;16.926;6.878;3.799;3.799;MC;M;C;Yes
60;6.769;8.828;4.819;5.382;CT;;;No
61;12.510;9.180;7.178;16.401;CT;;;No
62;32.690;9.044;3.215;22.140;CT;;;No
63;4.712;4.952;1.657;4.122;CT;;;No
64;21.356;8.391;0.450;17.776;CT;;;No
65;21.953;13.712;5.737;5.240;CT;;;No
66;50.549;22.970;14.170;30.322;CT;;;No
67;10.521;10.474;4.222;12.158;CT;;;No
68;13.757;6.919;5.495;5.874;CT;;;No
69;167.396;38.801;10.646;79.516;CT;;;No
70;58.175;5.077;5.259;15.051;CT;;;No
71;36.686;3.884;2.599;3.529;CT;;;No
72;11.555;14.263;2.827;6.049;CT;;;No
73;17.321;12.337;43.458;64.150;CT;;;No
74;36.484;15.010;7.866;9.904;CT;;;No
75;18.597;20.188;7.401;26.548;CT;;;No
